title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc
Lucky 13,2005,insufficient sample,1.0,insufficient sample,8.0,Missing,Missing
Sadilishteto,2014,Missing,Missing,Missing,Missing,Missing,Missing
Wir waren KÃ¶nige,2014,Missing,Missing,insufficient sample,10.0,Missing,Missing
Comedy Central Roast of Charlie Sheen,2011,insufficient sample,1.0,0.18181818181818182,11.0,Missing,Missing
Comedy Central Roast of William Shatner,2006,insufficient sample,1.0,0.2727272727272727,11.0,Missing,Missing
Comedy Central Roast of Donald Trump,2011,Missing,Missing,insufficient sample,10.0,Missing,Missing
I Am Road Comic,2014,insufficient sample,2.0,insufficient sample,2.0,Missing,Missing
Magician: The Astonishing Life and Work of Orson Welles,2014,Missing,Missing,0.125,16.0,Missing,Missing
The Fantastic Flying Books of Mr Morris Lessmore,2011,insufficient sample,1.0,Missing,Missing,Missing,Missing
Le passager,2006,Missing,Missing,insufficient sample,6.0,Missing,Missing
å¤©å°‡é›„å¸«,2015,insufficient sample,4.0,Missing,Missing,Missing,Missing
Jab Tak Hai Jaan,2012,insufficient sample,2.0,insufficient sample,6.0,Missing,Missing
Mere Brother Ki Dulhan,2011,insufficient sample,3.0,Missing,Missing,Missing,Missing
I Hate Luv Storys,2010,insufficient sample,1.0,insufficient sample,5.0,Missing,Missing
Entourage,2015,0.1875,16.0,Missing,Missing,2,"There are two or more women in this movie, but they only talk to each other about a man"
London Road,2015,insufficient sample,5.0,insufficient sample,8.0,Missing,Missing
Backyard Dogs,2001,insufficient sample,1.0,insufficient sample,5.0,Missing,Missing
Bitter Lake,2015,insufficient sample,3.0,Missing,Missing,Missing,Missing
Ventoux,2015,Missing,Missing,insufficient sample,1.0,Missing,Missing
Murder of a Cat,2014,insufficient sample,4.0,0.45454545454545453,11.0,Missing,Missing
Das Ende der Geduld,2014,insufficient sample,2.0,insufficient sample,3.0,Missing,Missing
No Way Jose,2015,insufficient sample,5.0,Missing,Missing,Missing,Missing
Tot Altijd,2012,Missing,Missing,insufficient sample,3.0,Missing,Missing
Der Samurai,2014,Missing,Missing,insufficient sample,2.0,Missing,Missing
Happy Ending,2014,Missing,Missing,Missing,Missing,Missing,Missing
Comedy Central Roast of Flavor Flav,2007,insufficient sample,2.0,Missing,Missing,Missing,Missing
Tu dors Nicole,2014,Missing,Missing,Missing,Missing,Missing,Missing
Freedom,2014,insufficient sample,2.0,0.25,12.0,Missing,Missing
Bizim BÃ¼yÃ¼k Ã‡aresizliÄŸimiz,2011,Missing,Missing,insufficient sample,1.0,Missing,Missing
Ashens and the Quest for the Gamechild,2013,Missing,Missing,insufficient sample,3.0,Missing,Missing
Paranormal Whacktivity,2013,Missing,Missing,insufficient sample,3.0,Missing,Missing
Comedy Central Roast of Pamela Anderson,2005,insufficient sample,1.0,insufficient sample,9.0,Missing,Missing
The Prospects,2011,Missing,Missing,insufficient sample,2.0,Missing,Missing
Die Farbe,2010,insufficient sample,1.0,Missing,Missing,Missing,Missing
PromociÃ³n Fantasma,2012,insufficient sample,1.0,insufficient sample,8.0,Missing,Missing
