title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc
Toy Story,1995,Missing,Missing,0.25,12.0,1,"There are two or more women in this movie, but they don't talk to each other"
Jumanji,1995,0.0,14.0,0.4,15.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Grumpier Old Men,1995,insufficient sample,4.0,insufficient sample,7.0,Missing,Missing
Waiting to Exhale,1995,insufficient sample,4.0,Missing,Missing,Missing,Missing
Father of the Bride Part II,1995,insufficient sample,7.0,0.45454545454545453,11.0,Missing,Missing
Heat,1995,Missing,Missing,Missing,Missing,2,"There are two or more women in this movie, but they only talk to each other about a man"
Sabrina,1995,0.3548387096774194,31.0,0.5869565217391305,46.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Tom and Huck,1995,insufficient sample,4.0,insufficient sample,7.0,Missing,Missing
Sudden Death,1995,insufficient sample,8.0,insufficient sample,6.0,Missing,Missing
GoldenEye,1995,0.21739130434782608,23.0,0.3684210526315789,19.0,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The American President,1995,insufficient sample,6.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Dracula: Dead and Loving It,1995,Missing,Missing,0.36363636363636365,11.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Balto,1995,insufficient sample,6.0,Missing,Missing,2,"There are two or more women in this movie, but they only talk to each other about a man"
Nixon,1995,insufficient sample,8.0,Missing,Missing,Missing,Missing
Cutthroat Island,1995,0.14285714285714285,14.0,Missing,Missing,Missing,Missing
Casino,1995,insufficient sample,10.0,Missing,Missing,2,"There are two or more women in this movie, but they only talk to each other about a man"
Sense and Sensibility,1995,insufficient sample,7.0,0.4375,16.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Four Rooms,1995,Missing,Missing,0.6363636363636364,22.0,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Ace Ventura: When Nature Calls,1995,insufficient sample,9.0,Missing,Missing,0,Fewer than two women in this movie
Money Train,1995,0.21739130434782608,23.0,0.14285714285714285,14.0,Missing,Missing
Get Shorty,1995,0.26666666666666666,15.0,Missing,Missing,Missing,Missing
Copycat,1995,0.17647058823529413,17.0,Missing,Missing,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Assassins,1995,0.3142857142857143,35.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Powder,1995,insufficient sample,7.0,Missing,Missing,Missing,Missing
Leaving Las Vegas,1995,Missing,Missing,0.5,14.0,2,"There are two or more women in this movie, but they only talk to each other about a man"
Othello,1995,insufficient sample,3.0,insufficient sample,8.0,2,"There are two or more women in this movie, but they only talk to each other about a man"
Now and Then,1995,insufficient sample,7.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Persuasion,1995,insufficient sample,7.0,0.4444444444444444,18.0,3,There are two or more women in this movie and they talk to each other about something other than a man
La CitÃ© des Enfants Perdus,1995,insufficient sample,7.0,Missing,Missing,Missing,Missing
æ‘‡å•Šæ‘‡ï¼Œæ‘‡åˆ°å¤–å©†æ¡¥,1995,insufficient sample,1.0,Missing,Missing,Missing,Missing
Dangerous Minds,1995,0.4666666666666667,15.0,insufficient sample,9.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Twelve Monkeys,1995,Missing,Missing,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
"Guillaumet, les ailes du courage",1996,insufficient sample,9.0,insufficient sample,5.0,Missing,Missing
Babe,1995,Missing,Missing,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Carrington,1995,insufficient sample,9.0,0.36363636363636365,11.0,Missing,Missing
Dead Man Walking,1995,Missing,Missing,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Across the Sea of Time,1995,insufficient sample,5.0,insufficient sample,1.0,Missing,Missing
It Takes Two,1995,insufficient sample,1.0,insufficient sample,6.0,Missing,Missing
Clueless,1995,insufficient sample,7.0,0.5,12.0,3,There are two or more women in this movie and they talk to each other about something other than a man
"Cry, the Beloved Country",1995,insufficient sample,3.0,insufficient sample,3.0,Missing,Missing
Richard III,1995,insufficient sample,4.0,0.17647058823529413,17.0,Missing,Missing
Dead Presidents,1995,insufficient sample,9.0,Missing,Missing,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Restoration,1995,insufficient sample,2.0,insufficient sample,10.0,Missing,Missing
Mortal Kombat,1995,insufficient sample,8.0,insufficient sample,7.0,1,"There are two or more women in this movie, but they don't talk to each other"
To Die For,1995,0.5454545454545454,11.0,0.4166666666666667,12.0,Missing,Missing
How To Make An American Quilt,1995,0.625,16.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Se7en,1995,Missing,Missing,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Pocahontas,1995,Missing,Missing,0.21428571428571427,14.0,3,There are two or more women in this movie and they talk to each other about something other than a man
When Night Is Falling,1995,insufficient sample,5.0,insufficient sample,3.0,3,There are two or more women in this movie and they talk to each other about something other than a man
The Usual Suspects,1995,0.25925925925925924,27.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Guardian Angel,1994,Missing,Missing,Missing,Missing,Missing,Missing
Mighty Aphrodite,1995,0.2962962962962963,27.0,Missing,Missing,Missing,Missing
Lamerica,1994,insufficient sample,3.0,Missing,Missing,Missing,Missing
The Big Green,1995,insufficient sample,2.0,Missing,Missing,Missing,Missing
Georgia,1995,insufficient sample,1.0,insufficient sample,8.0,Missing,Missing
Kids of the Round Table,1997,insufficient sample,3.0,insufficient sample,5.0,Missing,Missing
Home for the Holidays,1995,0.5454545454545454,11.0,insufficient sample,10.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Il postino,1994,insufficient sample,6.0,insufficient sample,5.0,Missing,Missing
Le confessionnal,1995,insufficient sample,2.0,insufficient sample,2.0,Missing,Missing
The Indian in the Cupboard,1995,insufficient sample,7.0,insufficient sample,9.0,Missing,Missing
Eye for an Eye,1996,0.3888888888888889,18.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Mr. Holland's Opus,1995,Missing,Missing,0.4666666666666667,15.0,Missing,Missing
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,0.0,11.0,Missing,Missing,Missing,Missing
Two If by Sea,1996,insufficient sample,3.0,Missing,Missing,Missing,Missing
Bio-Dome,1996,insufficient sample,7.0,0.5,12.0,Missing,Missing
Lawnmower Man 2: Beyond Cyberspace,1996,insufficient sample,8.0,Missing,Missing,Missing,Missing
Two Bits,1995,insufficient sample,2.0,insufficient sample,4.0,Missing,Missing
Gazon maudit,1995,insufficient sample,4.0,insufficient sample,4.0,Missing,Missing
Friday,1995,insufficient sample,4.0,Missing,Missing,2,"There are two or more women in this movie, but they only talk to each other about a man"
From Dusk Till Dawn,1996,Missing,Missing,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Fair Game,1995,insufficient sample,9.0,Missing,Missing,Missing,Missing
Kicking and Screaming,1995,insufficient sample,3.0,Missing,Missing,Missing,Missing
Les misÃ©rables,1995,insufficient sample,3.0,0.3333333333333333,12.0,Missing,Missing
Bed of Roses,1996,Missing,Missing,Missing,Missing,Missing,Missing
Big Bully,1996,insufficient sample,3.0,insufficient sample,7.0,Missing,Missing
Screamers,1995,Missing,Missing,insufficient sample,7.0,Missing,Missing
Nico Icon,1995,insufficient sample,1.0,insufficient sample,4.0,Missing,Missing
The Crossing Guard,1995,0.0,11.0,0.42857142857142855,21.0,Missing,Missing
The Juror,1996,insufficient sample,8.0,0.23076923076923078,13.0,Missing,Missing
Ø¨Ø§Ø¯Ú©Ù†Ú© Ø³Ù�ÛŒØ¯,1995,insufficient sample,1.0,Missing,Missing,Missing,Missing
Things to Do in Denver When You're Dead,1995,insufficient sample,8.0,Missing,Missing,Missing,Missing
Antonia,1995,insufficient sample,1.0,insufficient sample,4.0,Missing,Missing
Once Upon a Time... When We Were Colored,1996,insufficient sample,1.0,insufficient sample,10.0,Missing,Missing
Last Summer in the Hamptons,1995,Missing,Missing,0.4666666666666667,15.0,Missing,Missing
Angels and Insects,1995,insufficient sample,6.0,insufficient sample,7.0,Missing,Missing
White Squall,1996,insufficient sample,7.0,Missing,Missing,Missing,Missing
Dunston Checks In,1996,insufficient sample,6.0,0.3333333333333333,15.0,Missing,Missing
Black Sheep,1996,insufficient sample,1.0,Missing,Missing,Missing,Missing
Nick of Time,1995,insufficient sample,9.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
The Journey of August King,1995,insufficient sample,9.0,insufficient sample,5.0,Missing,Missing
Mary Reilly,1996,0.45454545454545453,11.0,Missing,Missing,Missing,Missing
Vampire in Brooklyn,1995,insufficient sample,8.0,insufficient sample,8.0,Missing,Missing
Beautiful Girls,1996,0.2857142857142857,21.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Broken Arrow,1996,0.0,12.0,Missing,Missing,0,Fewer than two women in this movie
A Midwinter's Tale,1995,insufficient sample,7.0,0.3333333333333333,12.0,Missing,Missing
La Haine,1995,insufficient sample,10.0,Missing,Missing,0,Fewer than two women in this movie
Shopping,1994,insufficient sample,2.0,Missing,Missing,Missing,Missing
Heidi Fleiss: Hollywood Madam,1995,insufficient sample,4.0,insufficient sample,3.0,Missing,Missing
City Hall,1996,insufficient sample,6.0,insufficient sample,7.0,Missing,Missing
Bottle Rocket,1996,0.1875,16.0,insufficient sample,6.0,Missing,Missing
Mr. Wrong,1996,Missing,Missing,insufficient sample,8.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Unforgettable,1996,insufficient sample,7.0,insufficient sample,8.0,Missing,Missing
Happy Gilmore,1996,insufficient sample,10.0,Missing,Missing,Missing,Missing
The Bridges of Madison County,1995,insufficient sample,10.0,insufficient sample,7.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Keiner liebt mich,1994,insufficient sample,2.0,insufficient sample,4.0,Missing,Missing
Muppet Treasure Island,1996,insufficient sample,7.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Catwalk,1995,Missing,Missing,0.47368421052631576,19.0,Missing,Missing
Headless Body in Topless Bar,1995,insufficient sample,1.0,insufficient sample,8.0,Missing,Missing
Braveheart,1995,Missing,Missing,Missing,Missing,2,"There are two or more women in this movie, but they only talk to each other about a man"
ç´…ç•ªå�€,1995,insufficient sample,1.0,insufficient sample,4.0,Missing,Missing
Before and After,1996,insufficient sample,4.0,Missing,Missing,Missing,Missing
Margaret's Museum,1995,insufficient sample,7.0,insufficient sample,5.0,Missing,Missing
Le Bonheur est dans le prÃ©,1995,insufficient sample,3.0,Missing,Missing,Missing,Missing
Anne Frank Remembered,1995,Missing,Missing,insufficient sample,2.0,Missing,Missing
The Young Poisoner's Handbook,1995,insufficient sample,2.0,Missing,Missing,Missing,Missing
If Lucy Fell,1996,insufficient sample,4.0,insufficient sample,6.0,Missing,Missing
Steal Big Steal Little,1995,insufficient sample,2.0,insufficient sample,9.0,Missing,Missing
Race the Sun,1996,insufficient sample,2.0,insufficient sample,10.0,Missing,Missing
The Boys of St. Vincent,1992,Missing,Missing,insufficient sample,4.0,Missing,Missing
Boomerang,1992,insufficient sample,4.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
é‡�æ…¶æ£®æž—,1994,insufficient sample,5.0,Missing,Missing,Missing,Missing
L'uomo delle stelle,1995,Missing,Missing,Missing,Missing,Missing,Missing
Flirting with Disaster,1996,0.45454545454545453,11.0,0.5,20.0,Missing,Missing
The NeverEnding Story III,1994,0.15384615384615385,13.0,0.38461538461538464,13.0,Missing,Missing
ØµÙ…Øª Ø§Ù„Ù‚ØµÙˆØ±,1994,Missing,Missing,insufficient sample,1.0,Missing,Missing
Jupiter's Wife,1995,Missing,Missing,Missing,Missing,Missing,Missing
Pie in the Sky,1996,0.35714285714285715,14.0,insufficient sample,8.0,Missing,Missing
Angela,1995,insufficient sample,8.0,insufficient sample,3.0,Missing,Missing
Frankie Starlight,1995,Missing,Missing,insufficient sample,6.0,Missing,Missing
Jade,1995,insufficient sample,3.0,0.21052631578947367,19.0,Missing,Missing
Nueba Yol,1995,insufficient sample,2.0,Missing,Missing,Missing,Missing
Sonic Outlaws,1995,Missing,Missing,Missing,Missing,Missing,Missing
Down Periscope,1996,0.2631578947368421,19.0,Missing,Missing,0,Fewer than two women in this movie
From the Journals of Jean Seberg,1995,insufficient sample,1.0,insufficient sample,2.0,Missing,Missing
Man of the Year,1995,insufficient sample,3.0,0.5,12.0,Missing,Missing
The Neon Bible,1995,insufficient sample,6.0,0.5454545454545454,11.0,Missing,Missing
Target,1995,Missing,Missing,Missing,Missing,Missing,Missing
Up Close & Personal,1996,insufficient sample,6.0,Missing,Missing,Missing,Missing
The Birdcage,1996,insufficient sample,5.0,insufficient sample,10.0,2,"There are two or more women in this movie, but they only talk to each other about a man"
Gospa,1995,insufficient sample,1.0,insufficient sample,5.0,Missing,Missing
The Brothers McMullen,1995,insufficient sample,3.0,insufficient sample,6.0,Missing,Missing
Bad Boys,1995,0.17647058823529413,17.0,Missing,Missing,Missing,Missing
The Amazing Panda Adventure,1995,insufficient sample,2.0,insufficient sample,4.0,Missing,Missing
The Basketball Diaries,1995,insufficient sample,5.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
An Awfully Big Adventure,1995,0.38461538461538464,13.0,Missing,Missing,Missing,Missing
Amateur,1994,insufficient sample,9.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Apollo 13,1995,Missing,Missing,0.24,25.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Rob Roy,1995,insufficient sample,7.0,Missing,Missing,Missing,Missing
The Addiction,1995,insufficient sample,4.0,insufficient sample,6.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Batman Forever,1995,Missing,Missing,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Beyond Rangoon,1995,0.15384615384615385,13.0,insufficient sample,4.0,Missing,Missing
Blue in the Face,1995,0.14285714285714285,14.0,0.3157894736842105,19.0,Missing,Missing
Canadian Bacon,1995,insufficient sample,9.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Casper,1995,0.4117647058823529,17.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Clockers,1995,insufficient sample,2.0,Missing,Missing,Missing,Missing
Congo,1995,insufficient sample,9.0,Missing,Missing,0,Fewer than two women in this movie
Crimson Tide,1995,Missing,Missing,Missing,Missing,Missing,Missing
Crumb,1994,Missing,Missing,insufficient sample,3.0,Missing,Missing
Desperado,1995,0.16666666666666666,12.0,0.16666666666666666,12.0,1,"There are two or more women in this movie, but they don't talk to each other"
Devil in a Blue Dress,1995,insufficient sample,6.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
Die Hard: With a Vengeance,1995,0.047619047619047616,21.0,0.25,12.0,1,"There are two or more women in this movie, but they don't talk to each other"
The Doom Generation,1995,0.2727272727272727,11.0,Missing,Missing,Missing,Missing
Feast of July,1995,insufficient sample,10.0,insufficient sample,6.0,Missing,Missing
First Knight,1995,0.16666666666666666,12.0,Missing,Missing,2,"There are two or more women in this movie, but they only talk to each other about a man"
Free Willy 2 - The Adventure Home,1995,insufficient sample,7.0,insufficient sample,10.0,Missing,Missing
Hackers,1995,0.25,16.0,Missing,Missing,2,"There are two or more women in this movie, but they only talk to each other about a man"
Jeffrey,1995,insufficient sample,6.0,0.5,16.0,Missing,Missing
Johnny Mnemonic,1995,insufficient sample,6.0,Missing,Missing,Missing,Missing
Judge Dredd,1995,0.07142857142857142,14.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Jury Duty,1995,insufficient sample,4.0,0.3125,16.0,Missing,Missing
Kids,1995,insufficient sample,5.0,insufficient sample,6.0,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Living in Oblivion,1995,insufficient sample,3.0,insufficient sample,9.0,Missing,Missing
Lord of Illusions,1995,insufficient sample,7.0,Missing,Missing,Missing,Missing
Love & Human Remains,1993,insufficient sample,1.0,insufficient sample,10.0,Missing,Missing
Mad Love,1995,insufficient sample,4.0,Missing,Missing,Missing,Missing
Mallrats,1995,insufficient sample,8.0,Missing,Missing,2,"There are two or more women in this movie, but they only talk to each other about a man"
Mighty Morphin Power Rangers: The Movie,1995,0.09090909090909091,11.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Moonlight and Valentino,1995,insufficient sample,1.0,insufficient sample,7.0,Missing,Missing
Mute Witness,1995,insufficient sample,3.0,insufficient sample,8.0,Missing,Missing
Nadja,1994,0.2727272727272727,11.0,insufficient sample,6.0,Missing,Missing
The Net,1995,insufficient sample,6.0,0.25,20.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Nine Months,1995,0.20833333333333334,24.0,0.6,15.0,Missing,Missing
Party Girl,1995,insufficient sample,9.0,insufficient sample,7.0,3,There are two or more women in this movie and they talk to each other about something other than a man
The Prophecy,1995,insufficient sample,7.0,insufficient sample,7.0,Missing,Missing
Reckless,1995,0.25,12.0,insufficient sample,3.0,Missing,Missing
Safe,1995,insufficient sample,7.0,0.5454545454545454,11.0,3,There are two or more women in this movie and they talk to each other about something other than a man
The Scarlet Letter,1995,insufficient sample,5.0,insufficient sample,9.0,Missing,Missing
The Show,1995,Missing,Missing,insufficient sample,5.0,Missing,Missing
Showgirls,1995,insufficient sample,8.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Smoke,1995,insufficient sample,8.0,Missing,Missing,Missing,Missing
Something to Talk About,1995,insufficient sample,5.0,Missing,Missing,Missing,Missing
Species,1995,0.14634146341463414,41.0,Missing,Missing,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Stars Fell on Henrietta,1995,insufficient sample,1.0,Missing,Missing,Missing,Missing
Strange Days,1995,0.42857142857142855,14.0,Missing,Missing,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Tie That Binds,1995,0.3333333333333333,18.0,Missing,Missing,Missing,Missing
Three Wishes,1995,insufficient sample,5.0,Missing,Missing,Missing,Missing
Total Eclipse,1995,insufficient sample,6.0,Missing,Missing,1,"There are two or more women in this movie, but they don't talk to each other"
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,0.38461538461538464,13.0,0.4,15.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Under Siege 2: Dark Territory,1995,0.07692307692307693,13.0,0.2727272727272727,11.0,Missing,Missing
Unstrung Heroes,1995,insufficient sample,2.0,insufficient sample,4.0,Missing,Missing
Unzipped,1995,Missing,Missing,insufficient sample,6.0,Missing,Missing
A Walk in the Clouds,1995,0.17857142857142858,28.0,insufficient sample,8.0,Missing,Missing
Waterworld,1995,Missing,Missing,0.23076923076923078,13.0,2,"There are two or more women in this movie, but they only talk to each other about a man"
White Man's Burden,1995,Missing,Missing,insufficient sample,5.0,Missing,Missing
Wild Bill,1995,insufficient sample,2.0,Missing,Missing,Missing,Missing
The Browning Version,1994,insufficient sample,2.0,Missing,Missing,Missing,Missing
Bushwhacked,1995,insufficient sample,4.0,insufficient sample,8.0,Missing,Missing
Ð£Ñ‚Ð¾Ð¼Ð»Ñ‘Ð½Ð½Ñ‹Ðµ Ñ�Ð¾Ð»Ð½Ñ†ÐµÐ¼,1994,insufficient sample,7.0,insufficient sample,5.0,Missing,Missing
Before the Rain,1994,0.3333333333333333,12.0,Missing,Missing,Missing,Missing
Before Sunrise,1995,insufficient sample,7.0,insufficient sample,7.0,0,Fewer than two women in this movie
Billy Madison,1995,0.2777777777777778,18.0,0.21428571428571427,14.0,1,"There are two or more women in this movie, but they don't talk to each other"
The Babysitter,1995,insufficient sample,2.0,insufficient sample,7.0,Missing,Missing
Boys on the Side,1995,insufficient sample,7.0,insufficient sample,6.0,3,There are two or more women in this movie and they talk to each other about something other than a man
The Cure,1995,insufficient sample,4.0,insufficient sample,7.0,Missing,Missing
Castle Freak,1995,0.0,13.0,Missing,Missing,Missing,Missing
Circle of Friends,1995,Missing,Missing,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Clerks,1994,insufficient sample,6.0,Missing,Missing,Missing,Missing
Don Juan DeMarco,1994,insufficient sample,9.0,0.5833333333333334,12.0,Missing,Missing
Disclosure,1994,insufficient sample,6.0,0.5,12.0,Missing,Missing
Dream Man,1995,insufficient sample,1.0,Missing,Missing,Missing,Missing
Drop Zone,1994,0.07692307692307693,13.0,insufficient sample,8.0,2,"There are two or more women in this movie, but they only talk to each other about a man"
Destiny Turns on the Radio,1995,insufficient sample,3.0,insufficient sample,5.0,Missing,Missing
Death and the Maiden,1994,0.46153846153846156,13.0,Missing,Missing,0,Fewer than two women in this movie
Dolores Claiborne,1995,0.09090909090909091,11.0,insufficient sample,8.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Dumb and Dumber,1994,Missing,Missing,Missing,Missing,Missing,Missing
é£²é£Ÿç”·å¥³,1994,insufficient sample,5.0,Missing,Missing,Missing,Missing
Exotica,1994,insufficient sample,2.0,Missing,Missing,Missing,Missing
Exit to Eden,1994,0.5384615384615384,13.0,Missing,Missing,Missing,Missing
Ed Wood,1994,0.2222222222222222,18.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
French Kiss,1995,insufficient sample,7.0,insufficient sample,7.0,2,"There are two or more women in this movie, but they only talk to each other about a man"
Forget Paris,1995,insufficient sample,9.0,0.4,15.0,Missing,Missing
Far from Home: The Adventures of Yellow Dog,1995,Missing,Missing,insufficient sample,8.0,Missing,Missing
A Goofy Movie,1995,0.0,13.0,0.26666666666666666,15.0,2,"There are two or more women in this movie, but they only talk to each other about a man"
Hideaway,1995,insufficient sample,2.0,insufficient sample,5.0,Missing,Missing
Fluke,1995,0.3333333333333333,12.0,Missing,Missing,Missing,Missing
Farinelli,1994,insufficient sample,3.0,insufficient sample,3.0,Missing,Missing
Gordy,1995,Missing,Missing,insufficient sample,2.0,Missing,Missing
Gumby: The Movie,1995,Missing,Missing,Missing,Missing,Missing,Missing
The Glass Shield,1994,insufficient sample,7.0,0.18181818181818182,22.0,Missing,Missing
Hoop Dreams,1994,insufficient sample,3.0,insufficient sample,3.0,Missing,Missing
Heavenly Creatures,1994,insufficient sample,8.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Houseguest,1995,Missing,Missing,insufficient sample,8.0,Missing,Missing
Immortal Beloved,1994,insufficient sample,5.0,0.3333333333333333,15.0,Missing,Missing
Heavyweights,1995,insufficient sample,3.0,Missing,Missing,0,Fewer than two women in this movie
The Hunted,1995,insufficient sample,2.0,insufficient sample,7.0,Missing,Missing
I.Q.,1994,insufficient sample,10.0,0.09090909090909091,11.0,0,Fewer than two women in this movie
Interview with the Vampire,1994,0.38461538461538464,13.0,0.46153846153846156,13.0,1,"There are two or more women in this movie, but they don't talk to each other"
Jefferson in Paris,1995,insufficient sample,3.0,Missing,Missing,Missing,Missing
The Jerky Boys,1995,Missing,Missing,insufficient sample,8.0,Missing,Missing
Junior,1994,insufficient sample,8.0,Missing,Missing,Missing,Missing
Just Cause,1995,0.3333333333333333,24.0,0.675,40.0,Missing,Missing
A Kid in King Arthur's Court,1995,Missing,Missing,insufficient sample,6.0,Missing,Missing
Kiss of Death,1995,insufficient sample,4.0,insufficient sample,10.0,Missing,Missing
Little Women,1994,Missing,Missing,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
A Little Princess,1995,0.16666666666666666,18.0,insufficient sample,8.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Ladybird Ladybird,1994,insufficient sample,3.0,Missing,Missing,Missing,Missing
L'Enfer,1994,insufficient sample,2.0,insufficient sample,6.0,Missing,Missing
Como agua para chocolate,1992,insufficient sample,8.0,insufficient sample,10.0,3,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Legends of the Fall,1994,0.25,16.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Major Payne,1995,insufficient sample,7.0,Missing,Missing,Missing,Missing
Little Odessa,1994,0.25,12.0,insufficient sample,7.0,Missing,Missing
Mi Vida Loca,1994,insufficient sample,7.0,insufficient sample,6.0,Missing,Missing
Love Affair,1994,0.2222222222222222,18.0,0.4117647058823529,17.0,Missing,Missing
Losing Isaiah,1995,insufficient sample,4.0,insufficient sample,9.0,Missing,Missing
The Madness of King George,1994,insufficient sample,6.0,Missing,Missing,Missing,Missing
Frankenstein,1994,0.16666666666666666,12.0,Missing,Missing,Missing,Missing
Man of the House,1995,insufficient sample,5.0,Missing,Missing,Missing,Missing
Mixed Nuts,1994,0.2857142857142857,14.0,0.42857142857142855,14.0,Missing,Missing
Milk Money,1994,insufficient sample,8.0,insufficient sample,9.0,Missing,Missing
Miracle on 34th Street,1994,insufficient sample,8.0,insufficient sample,9.0,Missing,Missing
Miami Rhapsody,1995,insufficient sample,2.0,insufficient sample,5.0,Missing,Missing
My Family,1995,insufficient sample,3.0,insufficient sample,7.0,Missing,Missing
Murder in the First,1995,insufficient sample,4.0,insufficient sample,9.0,Missing,Missing
Nobody's Fool,1994,0.23076923076923078,13.0,0.3333333333333333,21.0,Missing,Missing
Nell,1994,0.2727272727272727,11.0,Missing,Missing,Missing,Missing
New Jersey Drive,1995,insufficient sample,4.0,insufficient sample,7.0,Missing,Missing
New York Cop,1993,insufficient sample,1.0,insufficient sample,10.0,Missing,Missing
Beyond Bedlam,1994,insufficient sample,3.0,insufficient sample,6.0,Missing,Missing
Nemesis 2 - Nebula,1995,insufficient sample,2.0,insufficient sample,5.0,Missing,Missing
Nina Takes a Lover,1995,insufficient sample,2.0,Missing,Missing,Missing,Missing
Natural Born Killers,1994,0.17647058823529413,17.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Only You,1994,insufficient sample,5.0,insufficient sample,8.0,Missing,Missing
Once Were Warriors,1994,insufficient sample,3.0,Missing,Missing,Missing,Missing
Poison Ivy II: Lily,1996,insufficient sample,1.0,insufficient sample,5.0,Missing,Missing
Outbreak,1995,0.15384615384615385,13.0,0.14285714285714285,14.0,3,There are two or more women in this movie and they talk to each other about something other than a man
LÃ©on,1994,insufficient sample,10.0,Missing,Missing,Missing,Missing
The Perez Family,1995,Missing,Missing,insufficient sample,7.0,Missing,Missing
A Pyromaniac's Love Story,1995,insufficient sample,10.0,insufficient sample,9.0,Missing,Missing
Pulp Fiction,1994,0.3333333333333333,33.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Panther,1995,insufficient sample,2.0,0.23076923076923078,13.0,Missing,Missing
Pushing Hands,1992,insufficient sample,3.0,Missing,Missing,Missing,Missing
Priest,1994,insufficient sample,5.0,0.375,16.0,3,There are two or more women in this movie and they talk to each other about something other than a man
Quiz Show,1994,Missing,Missing,Missing,Missing,2,"There are two or more women in this movie, but they only talk to each other about a man"
Picture Bride,1995,Missing,Missing,insufficient sample,4.0,Missing,Missing
La Reine Margot,1994,insufficient sample,10.0,Missing,Missing,Missing,Missing
The Quick and the Dead,1995,insufficient sample,8.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man
Roommates,1995,Missing,Missing,insufficient sample,6.0,Missing,Missing
PrÃªt-Ã -Porter,1994,0.36363636363636365,11.0,Missing,Missing,Missing,Missing
Trois couleurs : Rouge,1994,insufficient sample,8.0,insufficient sample,7.0,Missing,Missing
Trois couleurs : Bleu,1993,insufficient sample,10.0,Missing,Missing,Missing,Missing
Trois couleurs : Blanc,1994,insufficient sample,7.0,Missing,Missing,Missing,Missing
Pao Da Shuang Deng,1994,insufficient sample,1.0,Missing,Missing,Missing,Missing
Rent-a-Kid,1995,insufficient sample,2.0,Missing,Missing,Missing,Missing
