,title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_desc,bechdel_score,synopsis
473,Jimmy Hollywood,1994,0.0,4.0,Missing,Missing,Missing,Missing,"Jimmy Alto is an actor wannabe who stumbles into the role of a lifetime. He becomes a vigilante crime-fighter, aided by his sidekick William, who has suffered a head wound and has problems with short-term memory. Jimmy's vigilante alter ego soon becomes a media wonder--but Jimmy remains a total unknown and his long-suffering girl friend Lorraine is getting fed up with the whole situation."
474,Judgment Night,1993,0.18181818181818182,11.0,0.25,12.0,Missing,Missing,"While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat & mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama"
475,Jurassic Park,1993,Missing,Missing,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,"A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape."
476,Kalifornia,1993,0.2222222222222222,18.0,insufficient sample,10.0,Missing,Missing,"A journalist duo go on a tour of serial killer murder sites with two companions, unaware that one of them is a serial killer himself."
477,Killing Zoe,1993,0.14285714285714285,7.0,insufficient sample,9.0,Missing,Missing,"Zed is an American vault-cracker who travels to Paris to meet up with his old friend Eric. Eric and his gang have planned to raid the only bank in the city which is open on Bastille day. After offering his services, Zed soon finds himself trapped in a situation beyond his control when heroin abuse, poor planning and a call-girl named Zoe all conspire to turn the robbery into a very bloody siege."
478,King of the Hill,1993,0.0,4.0,insufficient sample,10.0,Missing,Missing,"Based on the Depression-era bildungsroman memoir of writer A. E. Hotchner, the film follows the story of a boy struggling to survive on his own in a hotel in St. Louis after his mother is committed to a sanatorium with tuberculosis. His father, a German immigrant and traveling salesman working for the Hamilton Watch Company, is off on long trips from which the boy cannot be certain he will return."
480,Last Action Hero,1993,Missing,Missing,Missing,Missing,Missing,Missing,"Danny is obsessed with a fictional movie character action hero Jack Slater. When a magical ticket transports him into Jack's latest adventure, Danny finds himself in a world where movie magic and reality collide. Now it's up to Danny to save the life of his hero and new friend."
481,Life With Mikey,1993,0.0,2.0,insufficient sample,7.0,Missing,Missing,"Michael Chapman was once a child TV star. When he grows up, he can't get work so he and his brother start their own talent agency that specialises in child acts. They can't seem to find the next big thing and they have to deal with another agency who's not above bribery to get the kids to sign with them. One day Michael meets a young girl who's a real spitfire, and thinks she could be who they are looking for."
482,Lightning Jack,1994,0.0,5.0,Missing,Missing,Missing,Missing,"Lightning Jack Kane is an Australian outlaw in the wild west. During a bungled bank robbery he picks up mute Ben Doyle as a hostage. The two become good friends, with Jack teaching Ben how to rob banks, while they plan Jack's last heist."
483,M. Butterfly,1993,0.5,8.0,insufficient sample,7.0,Missing,Missing,"In 1960s China, French diplomat Rene Gallimard falls in love with an opera singer, Song Liling - but Song is not at all who Gallimard thinks."
484,Made in America,1993,0.25,8.0,Missing,Missing,Missing,Missing,"A young black woman discovers that her father was a sperm donor, and if that wasn't bad enough, he's white."
485,Malice,1993,0.16666666666666666,12.0,0.4166666666666667,12.0,Missing,Missing,"A tale about a happily married couple who would like to have children. Tracy teaches infants, Andy's a college professor. Things are never the same after she is taken to hospital and operated upon by Jed, a ""know all"" doctor."
486,The Man without a Face,1993,0.2727272727272727,11.0,Missing,Missing,"There are two or more women in this movie, but they don't talk to each other",1,"Justin McLeod is a former teacher who lives as a recluse on the edge of town after his face is disfigured from an automobile accident ten years earlier, in which a boy was incinerated—and for which he was convicted of involuntary manslaughter. Also suspected of being a paedophile, he is befriended by Chuck, causing the town's suspicions and hostility to be ignited."
487,Manhattan Murder Mystery,1993,0.24,25.0,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,A middle-aged couple suspects foul play when their neighbor's wife suddenly drops dead.
488,Menace II Society,1993,0.14285714285714285,7.0,Missing,Missing,Missing,Missing,"Sobering and incisive, this cautionary drama centers on a street tough 18-year-old facing a moral quandary while trying to turn his life around."
489,Executive Decision,1996,0.15789473684210525,19.0,Missing,Missing,Missing,Missing,"Terrorists hijack a 747 inbound to Washington D.C., demanding the the release of their imprisoned leader. Intelligence expert David Grant (Kurt Russell) suspects another reason and he is soon the reluctant member of a special assault team that is assigned to intercept the plane and hijackers."
491,What Happened Was...,1994,Missing,Missing,insufficient sample,2.0,Missing,Missing,"Jackie and Michael are coworkers at a large law firm, who decide to meet at Jackie's for dinner one night."
492,Much Ado About Nothing,1993,0.0,10.0,0.3333333333333333,12.0,Missing,Missing,"In this Shakespearean farce, Hero and her groom-to-be, Claudio, team up with Claudio's commanding officer, Don Pedro, the week before their wedding to hatch a matchmaking scheme. Their targets are sharp-witted duo Benedick and Beatrice -- a tough task indeed, considering their corresponding distaste for love and each other. Meanwhile, meddling Don John plots to ruin the wedding."
494,Mr. Wonderful,1993,Missing,Missing,insufficient sample,4.0,Missing,Missing,Electrician Gus gets the chance to fulfill a childhood dream by buying an old bowling-alley with some of his friends.
495,Mrs. Doubtfire,1993,0.4444444444444444,18.0,Missing,Missing,There are two or more women in this movie and they talk to each other about something other than a man,3,"Loving but irresponsible dad Daniel Hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. When Daniel learns his ex needs a housekeeper, he gets the job -- disguised as an English nanny. Soon he becomes not only his children's best pal but the kind of parent he should have been from the start."
497,The Next Karate Kid,1994,0.0,6.0,Missing,Missing,Missing,Missing,"During a commemoration for Japanese soldiers fighting in the US Army during World War II, Mr. Miyagi meets the widow of his commanding officer. He gets to know her granddaughter Julie, an angry teenager who is still feeling the pain of losing both her parents in an accident and is having problems with her grandmother and her fellow pupils. Mr. Miyagi decides to teach her karate to get her through her pain and issues and back on the right path."
498,The New Age,1994,0.0,2.0,insufficient sample,8.0,Missing,Missing,"Peter and Katherine Witner are Southern California super-yuppies with great jobs but no center to their lives. When they both lose their jobs and begin marital infidelities, their solution is to start their own business together. In order to find meaning to their empty lives, they follow various New Age gurus and other such groups. Eventually, they hit rock bottom and have to make some hard decisions"
