,title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc,synopsis
5410,Madagascar,2005,0.23076923076923078,13.0,0.1111111111111111,18.0,0,Fewer than two women in this movie,"Alex the lion is the king of the urban jungle, the main attraction at New York’s Central Park Zoo. He and his best friends—Marty the zebra, Melman the giraffe and Gloria the hippo—have spent their whole lives in blissful captivity before an admiring public and with regular meals provided for them. Not content to leave well enough alone, Marty lets his curiosity get the better of him and makes his escape—with the help of some prodigious penguins—to explore the world."
5411,Somersault,2004,insufficient sample,6.0,insufficient sample,7.0,Missing,Missing,"Australian teenager Heidi is left with little choice but to leave home after she's caught red-handed with her mother's boyfriend. With few options, Heidi ends up in Jindabyne, a tourist community. Upon meeting Joe at a bar, she pursues a relationship with him and tries to find something resembling a normal home life. Heidi makes small strides by getting a job and finding a place to stay, but her relationship with Joe must overcome more than its share of hurdles."
5413,Mad Hot Ballroom,2005,insufficient sample,2.0,Missing,Missing,Missing,Missing,"Eleven-year-old New York City public school kids journey into the world of ballroom dancing and reveal pieces of themselves and their world along the way. Told from their candid, sometimes hilarious perspectives, these kids are transformed, from reluctant participants to determined competitors, from typical urban kids to ""ladies and gentlemen,"" on their way to try to compete in the final citywide."
5414,Tell Them Who You Are,2004,Missing,Missing,insufficient sample,4.0,Missing,Missing,The son of acclaimed cinematographer Haskell Wexler confronts his complex father by turning the camera on him. What results is a portrait of a difficult genius and a son's path out of the shadow of a famous father.
5415,Dominion: Prequel to the Exorcist,2005,insufficient sample,9.0,Missing,Missing,Missing,Missing,"Haunted by terrible acts the Nazis forced him to participate in, the disenchanted Father Lankester Merrin focuses his energies on helping with an archaeological dig in the northern part of Kenya. There, the crew uncovers a church that predates Christian missions into the area, but the discovery also causes strange events to start occurring -- including physical changes to a young, disabled boy, whom Merrin grows to suspect has been possessed by a demon."
5416,The Longest Yard,2005,Missing,Missing,0.06896551724137931,29.0,1,"There are two or more women in this movie, but they don't talk to each other","Pro quarter-back, Paul Crewe and former college champion and coach, Nate Scarboro are doing time in the same prison. Asked to put together a team of inmates to take on the guards, Crewe enlists the help of Scarboro to coach the inmates to victory in a football game 'fixed' to turn out quite another way."
5417,Saving Face,2004,Missing,Missing,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man,A Chinese-American lesbian and her traditionalist mother are reluctant to go public with secret loves that clash against cultural expectations.
5419,Cinderella Man,2005,0.3181818181818182,22.0,0.1590909090909091,44.0,2,"There are two or more women in this movie, but they only talk to each other about a man","The true story of boxer, Jim Braddock who, in the 1920’s after his retirement, has a surprise comeback in order to get him and his family out of a socially poor state."
5420,The Sisterhood of the Traveling Pants,2005,insufficient sample,10.0,Missing,Missing,3,There are two or more women in this movie and they talk to each other about something other than a man,"Four best friends (Tibby, Lena, Carmen &amp; Bridget) who buy a mysterious pair of pants that fits each of them, despite their differing sizes, and makes whoever wears them feel fabulous. When faced with the prospect of spending their first summer apart, the pals decide they'll swap the pants so that each girl in turn can enjoy the magic."
5421,Lords of Dogtown,2005,insufficient sample,9.0,0.2631578947368421,19.0,2,"There are two or more women in this movie, but they only talk to each other about a man","""Lords of Dogtown"" tells the radical true story behind three teenage surfers from Venice Beach, California, who took skateboarding to the extreme and changed the world of sports forever. Stacy Peralta (John Robinson, Elephant), Tony Alva (Victor Rasuk, Raising Victor Vargas) and Jay Adams (Emile Hirsch, The Girl Next Door) are the Z-Boys, a bunch of nobodies until they create a new style of skateboarding that becomes a worldwide phenomenon. But when their hobby becomes a business, the success shreds their friendship. Directed by Catherine Hardwicke (Thirteen) and written by Stacy Peralta, Lords of Dogtown is ""...a dazzling daredevil ride."" (Peter Travers, Rollng Stone)"
5423,Rock School,2005,insufficient sample,3.0,Missing,Missing,Missing,Missing,"It is about a music school in Philadelphia, The Paul Green School of Rock Music, run by Paul Green that teaches kids ages 9 to 17 how to play rock music and be rock stars. Paul Green teaches his students how to play music such as Black Sabbath and Frank Zappa better than anyone expects them to by using a unique style of teaching that includes getting very angry and acting childish."
5424,Mr. & Mrs. Smith,2005,0.058823529411764705,17.0,0.5833333333333334,12.0,2,"There are two or more women in this movie, but they only talk to each other about a man","After five (or six) years of vanilla-wedded bliss, ordinary suburbanites John and Jane Smith are stuck in a huge rut. Unbeknownst to each other, they are both coolly lethal, highly-paid assassins working for rival organisations. When they discover they're each other's next target, their secret lives collide in a spicy, explosive mix of wicked comedy, pent-up passion, nonstop action and high-tech weaponry."
5425,The Adventures of Sharkboy and Lavagirl,2005,0.29411764705882354,34.0,Missing,Missing,Missing,Missing,"Everyone always knew that Max had a wild imagination, but no one believed that his wildest creations -- a boy raised by watchful great white sharks and a girl with the force of a volcano -- were real. Now, these two pint-sized action masters will show Max that even an ordinary kid has what it takes to be extraordinary."
5426,Haute tension,2003,insufficient sample,8.0,Missing,Missing,Missing,Missing,"Best friends Marie and Alexia decide to spend a quiet weekend at Alexia's parents' secluded farmhouse. But on the night of their arrival, the girls' idyllic getaway turns into an endless night of horror."
5427,The Honeymooners,2005,insufficient sample,5.0,insufficient sample,10.0,Missing,Missing,"Working class New York bus driver Ralph Kramden is always coming up with get-rich-quick schemes for him and his best friend, Ed Norton, who's always around to help him get in (and out of) trouble."
